"PATH","TRACKING_STATE","FIRST_OBSERVED_CONTEXT","LIKELY_WORKSTREAM","RELATED_WOP","RELATED_GATE","RELATED_MISSION","RELATED_EVIDENCE","RELATED_COMPLETION_REPORT","RELATED_PUBLICATION_MANIFEST","RELATED_COMMIT_HISTORY","CURRENT_AUTHORITATIVE_OWNER","CONTENT_UNIQUE","REPRODUCIBLE","SUPERSEDED_BY","VALIDATION_STATE","PROPOSED_DISPOSITION","RATIONALE"
"docs/architecture/ADR-0001-ZEUS-CANONICAL-ARCHITECTURE-DECISION.md","tracked_modified","current starting snapshot; qualified candidate manifest","WOP submission authority convergence","Operation Beta / applicable Zeus boundary","Operation Beta / Zeus development","engineering/evidence/2026-08-07-wop-submission-authority-convergence-001/{COMPLETION-REPORT.md,PUBLICATION-CANDIDATE-MANIFEST.md,VALIDATION-OUTPUT.md}","completion/evidence record","engineering/evidence/2026-08-07-wop-submission-authority-convergence-001/PUBLICATION-CANDIDATE-MANIFEST.md","HEAD e7e77eb; file history and reflog checked","WOP submission authority convergence candidate","YES","NO","","not superseded","focused qualification PASS; full validation failures classified in candidate evidence","publish in exact authority-convergence candidate commit","Exact manifest path; overlap files require hunk review"
"docs/emp/EMP-0001-ENGINEERING_MANAGEMENT_PLATFORM_ARCHITECTURE.md","tracked_modified","current starting snapshot; qualified candidate manifest","WOP submission authority convergence","Operation Beta / applicable Zeus boundary","Operation Beta / Zeus development","engineering/evidence/2026-08-07-wop-submission-authority-convergence-001/{COMPLETION-REPORT.md,PUBLICATION-CANDIDATE-MANIFEST.md,VALIDATION-OUTPUT.md}","completion/evidence record","engineering/evidence/2026-08-07-wop-submission-authority-convergence-001/PUBLICATION-CANDIDATE-MANIFEST.md","HEAD e7e77eb; file history and reflog checked","WOP submission authority convergence candidate","YES","NO","","not superseded","focused qualification PASS; full validation failures classified in candidate evidence","publish in exact authority-convergence candidate commit","Exact manifest path; overlap files require hunk review"
"docs/policies/POL-0001-ENGINEERING_GOVERNANCE_POLICY.md","tracked_modified","current starting snapshot; qualified candidate manifest","WOP submission authority convergence","Operation Beta / applicable Zeus boundary","Operation Beta / Zeus development","engineering/evidence/2026-08-07-wop-submission-authority-convergence-001/{COMPLETION-REPORT.md,PUBLICATION-CANDIDATE-MANIFEST.md,VALIDATION-OUTPUT.md}","completion/evidence record","engineering/evidence/2026-08-07-wop-submission-authority-convergence-001/PUBLICATION-CANDIDATE-MANIFEST.md","HEAD e7e77eb; file history and reflog checked","WOP submission authority convergence candidate","YES","NO","","not superseded","focused qualification PASS; full validation failures classified in candidate evidence","publish in exact authority-convergence candidate commit","Exact manifest path; overlap files require hunk review"
"docs/procedures/PROC-0001-ENGINEERING_WORK_ORDER_EXECUTION_PROCEDURE.md","tracked_modified","current starting snapshot; qualified candidate manifest","WOP submission authority convergence","Operation Beta / applicable Zeus boundary","Operation Beta / Zeus development","engineering/evidence/2026-08-07-wop-submission-authority-convergence-001/{COMPLETION-REPORT.md,PUBLICATION-CANDIDATE-MANIFEST.md,VALIDATION-OUTPUT.md}","completion/evidence record","engineering/evidence/2026-08-07-wop-submission-authority-convergence-001/PUBLICATION-CANDIDATE-MANIFEST.md","HEAD e7e77eb; file history and reflog checked","WOP submission authority convergence candidate","YES","NO","","not superseded","focused qualification PASS; full validation failures classified in candidate evidence","publish in exact authority-convergence candidate commit","Exact manifest path; overlap files require hunk review"
"docs/procedures/PROC-0003-ENGINEERING_RECOVERY_RUNBOOK.md","tracked_modified","current starting snapshot; qualified candidate manifest","WOP submission authority convergence","Operation Beta / applicable Zeus boundary","Operation Beta / Zeus development","engineering/evidence/2026-08-07-wop-submission-authority-convergence-001/{COMPLETION-REPORT.md,PUBLICATION-CANDIDATE-MANIFEST.md,VALIDATION-OUTPUT.md}","completion/evidence record","engineering/evidence/2026-08-07-wop-submission-authority-convergence-001/PUBLICATION-CANDIDATE-MANIFEST.md","HEAD e7e77eb; file history and reflog checked","WOP submission authority convergence candidate","YES","NO","","not superseded","focused qualification PASS; full validation failures classified in candidate evidence","publish in exact authority-convergence candidate commit","Exact manifest path; overlap files require hunk review"
"docs/procedures/PROC-0005-CONTROLLED_DOCUMENT_PUBLICATION_PROCEDURE.md","tracked_modified","current starting snapshot; qualified candidate manifest","WOP submission authority convergence","Operation Beta / applicable Zeus boundary","Operation Beta / Zeus development","engineering/evidence/2026-08-07-wop-submission-authority-convergence-001/{COMPLETION-REPORT.md,PUBLICATION-CANDIDATE-MANIFEST.md,VALIDATION-OUTPUT.md}","completion/evidence record","engineering/evidence/2026-08-07-wop-submission-authority-convergence-001/PUBLICATION-CANDIDATE-MANIFEST.md","HEAD e7e77eb; file history and reflog checked","WOP submission authority convergence candidate","YES","NO","","not superseded","focused qualification PASS; full validation failures classified in candidate evidence","publish in exact authority-convergence candidate commit","Exact manifest path; overlap files require hunk review"
"docs/procedures/PROC-0007-GOVERNANCE-STABILIZATION-PROCEDURE.md","tracked_modified","current starting snapshot; qualified candidate manifest","WOP submission authority convergence","Operation Beta / applicable Zeus boundary","Operation Beta / Zeus development","engineering/evidence/2026-08-07-wop-submission-authority-convergence-001/{COMPLETION-REPORT.md,PUBLICATION-CANDIDATE-MANIFEST.md,VALIDATION-OUTPUT.md}","completion/evidence record","engineering/evidence/2026-08-07-wop-submission-authority-convergence-001/PUBLICATION-CANDIDATE-MANIFEST.md","HEAD e7e77eb; file history and reflog checked","WOP submission authority convergence candidate","YES","NO","","not superseded","focused qualification PASS; full validation failures classified in candidate evidence","publish in exact authority-convergence candidate commit","Exact manifest path; overlap files require hunk review"
"docs/procedures/PROC-0008-ENGINEERING_GOVERNANCE_DECISION_PROCEDURE.md","tracked_modified","current starting snapshot; qualified candidate manifest","WOP submission authority convergence","Operation Beta / applicable Zeus boundary","Operation Beta / Zeus development","engineering/evidence/2026-08-07-wop-submission-authority-convergence-001/{COMPLETION-REPORT.md,PUBLICATION-CANDIDATE-MANIFEST.md,VALIDATION-OUTPUT.md}","completion/evidence record","engineering/evidence/2026-08-07-wop-submission-authority-convergence-001/PUBLICATION-CANDIDATE-MANIFEST.md","HEAD e7e77eb; file history and reflog checked","WOP submission authority convergence candidate","YES","NO","","not superseded","focused qualification PASS; full validation failures classified in candidate evidence","publish in exact authority-convergence candidate commit","Exact manifest path; overlap files require hunk review"
"docs/procedures/PROC-0009-ROADMAP_PLANNING_RECORDING_PROCEDURE.md","untracked_regular","pre-existing dirty work recorded in candidate STARTING-BASELINE","Operation Beta roadmap/planning recording maturity","Operation Beta / applicable Zeus boundary","Operation Beta / Zeus development","engineering/evidence/operation-beta/roadmap-classification-recording-corrective-001/{ROADMAP-CLASSIFICATION-RECORDING-CORRECTIVE-COMPLETION-REPORT.md,PROC-0009-REPOSITORY-RECONCILIATION-REPORT.md}","completion/evidence record","owning evidence record","HEAD e7e77eb; file history and reflog checked","owning Operation Beta follow-on/planning workstream","YES","NO","","not superseded","known read-only/planning evidence; explicit implementation/publication pending or awaiting operator review","preserve outside authority-convergence publication; route through owning WOP/review lifecycle","Explicit no-publication/awaiting-review boundary; preserve unique work"
"docs/specifications/SPEC-0001-CONTROLLED_DOCUMENT_MODEL.md","tracked_modified","current starting snapshot; qualified candidate manifest","WOP submission authority convergence","Operation Beta / applicable Zeus boundary","Operation Beta / Zeus development","engineering/evidence/2026-08-07-wop-submission-authority-convergence-001/{COMPLETION-REPORT.md,PUBLICATION-CANDIDATE-MANIFEST.md,VALIDATION-OUTPUT.md}","completion/evidence record","engineering/evidence/2026-08-07-wop-submission-authority-convergence-001/PUBLICATION-CANDIDATE-MANIFEST.md","HEAD e7e77eb; file history and reflog checked","WOP submission authority convergence candidate","YES","NO","","not superseded","focused qualification PASS; full validation failures classified in candidate evidence","publish in exact authority-convergence candidate commit","Exact manifest path; overlap files require hunk review"
